No,Name Cafe,Place,Address,Phone,Rating,Reviews,Type,Hours
1,1009 Social Space - Palagan,,"Jl. Umbul Permai No.102, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81127013869,4.9,"3,636",Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
2,11 Coffee,,"Jl. Taman Siswa No.100, RW.08, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",,4.6,24,Cafe,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
3,7 Clover Coffee,,"Jl. Sukoharjo no 132 G, RT.06/RW.30, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",0882-0030-71822,4.8,189,Cafe,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
4,A&M Co,Parangtritis,"Jl. Parangtritis No.139, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",0822-6060-0903,4.7,"3,973",Cafe,"{Monday, 7.00 am–11.00 pm; Tuesday, 7.00 am–11.00 pm; Wednesday, 7.00 am–11.00 pm; Thursday, 7.00 am–11.00 pm; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–11.00 pm}"
5,Ada Coffee,,"Jl. Cokrodipuran No.20, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",,4.6,118,,"{Monday, 7.00 am–3.00 am; Tuesday, 7.00 am–3.00 am; Wednesday, 7.00 am–3.00 am; Thursday, 7.00 am–3.00 am; Friday, 7.00 am–3.00 am; Saturday, 7.00 am–3.00 am; Sunday, 7.00 am–3.00 am}"
6,Adam's Coffee & Pastry,,"Jl. Prawirotaman No.1 No. 30, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",8122952295,4.9,221,,"{Monday, 6.30 am–10.00 pm; Tuesday, 6.30 am–10.00 pm; Wednesday, 6.30 am–10.00 pm; Thursday, 6.30 am–10.00 pm; Friday, 6.30 am–10.00 pm; Saturday, 6.30 am–10.00 pm; Sunday, 6.30 am–10.00 pm}"
7,Agoge Cafe,,"Jl. Bima Jl. Panggungsari No.164f, Wonorejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",,4.6,414,Cafe,"{Monday, 7.00 am–11.00 pm; Tuesday, 7.00 am–11.00 pm; Wednesday, 7.00 am–11.00 pm; Thursday, 7.00 am–11.00 pm; Friday, 7.00 am–11.00 am; Saturday, 7.00 am–11.00 am; Sunday, 7.00 am–11.00 pm}"
8,Alra Corner,,"Jl. Surami No.846, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",0815-6871-350,4.4,512,Cafe,"{Monday, 7.00 am–11.00 pm; Tuesday, 7.00 am–11.00 pm; Wednesday, 7.00 am–11.00 pm; Thursday, 7.00 am–11.00 pm; Friday, 7.00 am–11.00 am; Saturday, 7.00 am–11.00 am; Sunday, 7.00 am–11.00 pm}"
9,Anak Panah Kopi Bizz HOS,,"Jl. HOS Cokroaminoto No.185, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244",82312003800,4.8,573,,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
10,ARAH Coffee Pandawa,,"Kaliurang St No.27, Karang Wuni, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55284",81128512545,4.5,"1,110",Cafe,Open 24 Hours
11,Arka Coffee and Space,,"Jl. Taman Sari No.1/310, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",,4.8,618,Cafe,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
12,Awor Coffee Junction,,"Jl. Dr. Wahidin Sudirohusodo No.16, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",87714637395,4.5,412,Cafe,Open 24 Hours
13,Awor Coffee Kaliurang,,"Jl. Besi Jaya, Besi, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",82119318601,4.7,265,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 am; Saturday, 8.00 am–11.00 am; Sunday, 8.00 am–11.00 pm}"
14,Awor Gallery & Coffee,,"YAP SQUARE B11, Jl. C. Simanjuntak, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",87722941300,4.5,708,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 am; Saturday, 8.00 am–11.00 am; Sunday, 8.00 am–11.00 pm}"
15,Awor Yard & Coffee,,"Jl. Palagan Tentara Pelajar P6 No.km 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81227860397,4.6,418,Cafe,Open 24 Hours
16,Ayom Cafe,Jogja,"Jl. Dalgino, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",8112957095,4.7,"3,716",Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
