No,Name Cafe,Place
1,Always Coffee,Nologaten
2,Anak Panah Coffee,Jogja
3,Arah Coffee Pandawa,
4,Ayom Jogja,Sleman
5,Bawah Langit,
6,Bean N Brew,Jogja
7,Bento Kopi Sorowajan,
8,Bon's Milk & Toast,
9,By The River Cottage,Jogja
10,Cafe Pinus Menoreh,
11,Cangkir Bumi Coffee,Umbulharjo
12,Cheri Patisseries & Brasserie,
13,Circa 90,
14,Coconut Coffee & Eatery,
15,Cuena x Burgera,
16,CXMM Coffee by Mountain Merch,Sleman
17,Deeva Kopi,Godean
18,Dikwaa Café,
19,Dingo Coffee,
20,Easy Breezy,
21,Es Kopi Taman Siswa x Esteh Indonesia,
22,Five Seven Coffee,Sleman
23,Kedai Kopi Nata Damar,
24,Kobessah Kopi UAD,Bantul
25,Kokambar Kopi Kampung Ambarukmo,
26,Konaro Coffee & Eatery,
27,Kopi Bhumi Kalegan,Sleman
28,Kopi Bumi langit & Nasgor Mantra,
29,Kopi Nuri Seturan,
30,Loe Goe Cafe,Ngaglik
31,Loka Nusa,Kota Gede
32,Maco Coffee & Co Working,Sleman
33,Mampir Srawung,
34,Masa Kopi,
35,Myosotis Coffee & Eatery,
36,Nilu Kopi,Bantul
37,Niwa Coffee & Eatery,Sleman
38,Nj Kafe,Terban
39,Ohara Coffee & Burger,Sleman
40,Piezokopi,Jogja
41,Posh Coffee.Co,
42,Qamari Coffee & Eatery,Gejayan
43,Relasi Co Working Space,
44,Selerasa,
45,Senja Coffee & Memories,
46,Seraya Coffee & Space,Sleman
47,Sisi Selatan Coffee & Eatery,Jogja
48,Talakopi UMY,Bantul
49,Tobong Gamping Kitchen and Coffee,Bantul
50,Tomo Coffee Jogja,Sleman
51,Tom's Milk,
52,Trilogi Coffee,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
