No,Title,Address,Phone,Rating,Reviews,Type,Hours
1,28 Coffee Taman Siswa,"3CJ3+CQW, Jl. Makam Sunan Cirebon Jl. Giriloyo, Karang Kulon, Wukirsari, Imogiri, Bantul Regency, Special Region of Yogyakarta 55782, Indonesia",,3.3,3,Coffee shop,Open 24 hours
2,APAYA COFFEE,"Grojogan, Wirokerten, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55194",,4.7,13,Coffee shop,
3,Arion Coffee shop,"Jl. Bantul No.204, RW.KM 7, Sawahan, Pendowoharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55185, Indonesia",#ERROR!,4.8,10,Coffee shop,Open ⋅ Closes 11 PM
4,Arka Coffee and Space,"Jl. Jogoripon, Jaranan, Panggungharjo, Sewon, Bantul Regency, Special Region of Yogyakarta, Indonesia",#ERROR!,4.8,379,Coffee shop,Open ⋅ Closes 11 PM
5,Barakgalleryandcoffe,"Dobalan, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55185, Indonesia",,4.6,131,Coffee shop,Closed ⋅ Opens 6:30 PM
6,Bento Kopi Bantul,"487F+MQH, Jl. Gatot Subroto, Soropaten, Ringinharjo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55281",,4.3,524,Coffee shop,
7,Billioncoffee,"Jl. Gatak, Brajan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82220651924,4.9,151,Coffee shop,
8,Bumi Seduh Coffee,"Jl. Patih Singoranu, Kragilan, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55191",81329308832,4.6,"1,056",,"{Monday, 9.00 am–1.00 am; Tuesday, 9.00 am–1.00 am; Wednesday, 9.00 am–1.00 am; Thursday, 9.00 am–1.00 am; Friday, 9.00 am–1.00 am; Saturday, 9.00 am–1.00 am; Sunday, 9.00 am–1.00 am}"
9,CAHLU COFFEE,"492J+HXG, Ponggok I, Trimulyo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",#ERROR!,5,3,Coffee shop,Closed ⋅ Opens 5 PM
10,Cari Nagari,"Gg. Nakulo, Kembaran, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55183",85119890089,4.6,164,Coffee shop,
